Vatanda_lık ülkesine göre Türkiye'ye gelen ve Türkiye'den giden göç, 2016-2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Immigrants and emigrants by country of citizenship, 2016-2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
[31 Aralık tarihi itibarıyla-As of 31 December];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Yıl
Year";"Vatanda_lık ülkesi
Country of citizenship";"Türkiye'ye gelen göç
Immigrants";;;;"Türkiye'den giden göç
Emigrants";;;"Net göç
Net migration";;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;"Toplam
Total";"Erkek
Male";"Kadın
Female";;"Toplam
Total";"Erkek
Male";"Kadın
Female";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021;Toplam-Total; 739 364; 383 984; 355 380;; 287 651; 160 216; 127 435; 451 713;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;"Türk vatanda_ları
Turkish citizens"; 124 269; 70 286; 53 983;; 103 613; 61 585; 42 028; 20 656;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Yabancı uyruklular-Foreign nationals; 615 095; 313 698; 301 397;; 184 038; 98 631; 85 407; 431 057;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Irak-Iraq; 74 336; 39 557; 34 779;; 40 124; 22 283; 17 841; 34 212;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;_ran-Iran; 66 984; 33 758; 33 226;; 10 267; 5 564; 4 703; 56 717;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Özbekistan-Uzbekistan; 39 999; 15 290; 24 709;; 7 705; 2 754; 4 951; 32 294;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Suriye-Syria; 37 044; 18 964; 18 080;; 9 515; 5 418; 4 097; 27 529;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Afganistan-Afghanistan; 34 069; 21 001; 13 068;; 12 321; 7 699; 4 622; 21 748;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Rusya Federasyonu-Russian Federation; 31 463; 13 348; 18 115;; 7 184; 2 959; 4 225; 24 279;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Azerbaycan-Azerbaijan; 27 066; 14 315; 12 751;; 7 380; 3 958; 3 422; 19 686;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Türkmenistan-Turkmenistan; 24 465; 13 635; 10 830;; 8 969; 5 140; 3 829; 15 496;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Kazakistan-Kazakhstan; 20 151; 8 452; 11 699;; 3 132; 1 327; 1 805; 17 019;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Somali-Somalia; 15 433; 8 201; 7 232;; 4 837; 2 673; 2 164; 10 596;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Mısır-Egypt; 13 407; 7 536; 5 871;; 5 219; 3 428; 1 791; 8 188;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Almanya-Germany; 13 184; 7 017; 6 167;; 3 939; 1 890; 2 049; 9 245;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Filistin-Palestine; 13 076; 8 145; 4 931;; 3 274; 2 141; 1 133; 9 802;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Libya-Libya; 11 991; 6 823; 5 168;; 6 718; 4 179; 2 539; 5 273;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Pakistan-Pakistan; 11 900; 8 074; 3 826;; 2 041; 1 439;  602; 9 859;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Kırgızistan-Kyrgyzstan; 11 786; 3 650; 8 136;; 3 045;  865; 2 180; 8 741;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Ürdün-Jordan; 11 734; 7 193; 4 541;; 3 156; 1 950; 1 206; 8 578;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Fas-Morocco; 9 716; 3 101; 6 615;; 1 937;  656; 1 281; 7 779;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Ukrayna-Ukraine; 8 545; 2 494; 6 051;; 2 533;  611; 1 922; 6 012;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Lübnan-Lebanon; 8 517; 4 640; 3 877;; 1 357;  788;  569; 7 160;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Sudan-Sudan; 6 925; 3 806; 3 119;;  587;  348;  239; 6 338;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Yemen-Yemen; 6 864; 4 254; 2 610;; 3 819; 2 514; 1 305; 3 045;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Gürcistan-Georgia; 6 248; 1 897; 4 351;; 3 041;  596; 2 445; 3 207;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Nijerya-Nigeria; 5 973; 4 774; 1 199;; 1 179;  936;  243; 4 794;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Endonezya-Indonesia; 5 723; 1 795; 3 928;;  870;  326;  544; 4 853;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Amerika Birle_ik Devletleri-United States; 5 462; 2 935; 2 527;; 1 981; 1 024;  957; 3 481;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Cezayir-Algeria; 5 438; 2 608; 2 830;; 1 131;  633;  498; 4 307;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Çin-China; 5 239; 3 897; 1 342;; 1 813; 1 414;  399; 3 426;;;;;;;;;;;;;;;;;;;;;;;;;;;;
